id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
16204,Daisy Miller,159,Henry James,1878,3.37,23633,1442
50827,Dombey and Son,239579,Charles Dickens,1848,3.91,12470,566
59142,Eugénie Grandet,228089,Honoré de Balzac,1833,3.79,15042,535
93261,The Legend of Sleepy Hollow,28525,Washington Irving,1820,3.73,39280,2501
133954,Washington Square,159,Henry James,1880,3.67,15997,1180
17877,The House of the Dead,3137322,Fyodor Dostoyevsky,1861,4.04,14216,890
14680,The Charterhouse of Parma,1481537,Stendhal,1839,3.82,12895,449
78960,Good Wives,1315,Louisa May Alcott,1869,3.93,18380,533
292275,Hedda Gabler,2730977,Henrik Ibsen,1890,3.8,27895,593
1770391,The Treasure Chest,45705,Johann Peter Hebel,1811,4.06,129,12
92308,The Importance of Being Earnest and Other Plays,3565,Oscar Wilde,1954,4.25,43626,364
54492,The Prisoner of Zenda,30775,Anthony Hope,1894,3.86,16232,857
14707,"Faust, Part Two",285217,Johann Wolfgang von Goethe,1832,3.74,4184,138
254308,Oblomov,5326370,Ivan Goncharov,1859,4.02,24288,709
80449,On the Genealogy of Morals,1938,Friedrich Nietzsche,1887,4.1,14202,445
92967,"L'Assommoir (The Dram Shop) (Les Rougon-Macquart, #7)",4750,Émile Zola,1877,4.06,10421,436
296866,The Hunting of the Snark,8164,Lewis Carroll,1876,4.05,4707,323
588747,Lady Audley's Secret,45896,Mary Elizabeth Braddon,1862,3.75,17740,975
126609,Sister Carrie,8987,Theodore Dreiser,1900,3.74,33642,1308
374371,"Can You Forgive Her? (Palliser, #1)",20524,Anthony Trollope,1865,3.94,5718,514
7186,La Dame aux Camélias,3186713,Alexandre Dumas fils,1848,3.98,26358,1376
79121,The Happy Prince,3565,Oscar Wilde,1888,4.22,22728,639
414295,Dr. Thorne (Chronicles of Barsetshire #3),20524,Anthony Trollope,1858,4.08,4617,460
110871,Thérèse Raquin,4750,Émile Zola,1867,3.71,16978,1261
682681,"She: A History of Adventure (She, #1)",4633123,H. Rider Haggard,1886,3.58,9686,781
87264,Memórias Póstumas de Brás Cubas,22458,Machado de Assis,1880,4.23,12550,506
444381,"The Princess and the Goblin  (Princess Irene and Curdie, #1)",2413,George MacDonald,1872,4.0,25882,1527
4906,Heart of Darkness and Other Tales,3345,Joseph Conrad,1902,3.57,5461,359
137235,Victoria,18317,Knut Hamsun,1898,3.74,4478,274
154387,Sonnets from the Portuguese,67032,Elizabeth Barrett Browning,1850,4.13,10442,245
175516,The Fall of the House of Usher,4624490,Edgar Allan Poe,1839,3.95,37073,979
79649,The Seagull,5031025,Anton Chekhov,1895,3.92,20403,575
17533,"Rose in Bloom (Eight Cousins, #2)",1315,Louisa May Alcott,1876,4.03,19748,479
391724,The Black Cat,4624490,Edgar Allan Poe,1843,4.08,22022,1257
99152,Life on the Mississippi,1244,Mark Twain,1883,3.89,11236,628
